,route_name,stop_idx,eta,stop_number,target_uid,delivery,pickup,service_time,open_1,close_1
64,critical-blanchet,78,2030-01-02 07:14:00,4,768231917,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
65,critical-blanchet,29,2030-01-02 07:16:00,5,358543587,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
66,critical-blanchet,27,2030-01-02 07:20:00,6,335980359,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
67,critical-blanchet,40,2030-01-02 07:22:00,7,475642367,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
68,critical-blanchet,26,2030-01-02 07:24:00,8,335569489,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
69,critical-blanchet,41,2030-01-02 07:26:00,9,475642453,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
70,critical-blanchet,85,2030-01-02 07:31:00,10,830659393,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
71,critical-blanchet,11,2030-01-02 07:38:00,11,305312829,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
72,critical-blanchet,4,2030-01-02 07:41:00,12,279915988,5,3,7,2030-01-02 07:00:00,2030-01-02 20:00:00
73,critical-blanchet,80,2030-01-02 07:47:00,13,768520263,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
74,critical-blanchet,69,2030-01-02 07:50:00,14,698087515,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
75,critical-blanchet,48,2030-01-02 07:52:00,15,538103859,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
76,critical-blanchet,67,2030-01-02 08:00:00,16,639829717,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
77,critical-blanchet,59,2030-01-02 08:17:00,17,598161343,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
78,critical-blanchet,84,2030-01-02 08:22:00,18,811533577,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
79,critical-blanchet,2,2030-01-02 08:34:00,19,249426205,5,3,7,2030-01-02 07:00:00,2030-01-02 20:00:00
80,critical-blanchet,44,2030-01-02 08:40:00,20,491319669,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
81,critical-blanchet,43,2030-01-02 08:43:00,21,491319647,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
82,critical-blanchet,5,2030-01-02 08:46:00,22,280123269,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
83,critical-blanchet,37,2030-01-02 08:53:00,23,467744840,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
84,critical-blanchet,52,2030-01-02 08:57:00,24,562072082,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
85,critical-blanchet,38,2030-01-02 08:59:00,25,467744856,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
86,critical-blanchet,7,2030-01-02 09:04:00,26,282342105,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
87,critical-blanchet,58,2030-01-02 09:08:00,27,592066036,5,3,14,2030-01-02 07:00:00,2030-01-02 20:00:00
88,critical-blanchet,33,2030-01-02 09:16:00,28,434153487,5,3,16,2030-01-02 07:00:00,2030-01-02 20:00:00
89,critical-blanchet,76,2030-01-02 09:23:00,29,768231204,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
